QuestID	No	PossessionCategory	PossessionID	PossessionNum
1	1	11	4	100
2	1	11	4	200
3	1	11	4	300
4	1	11	4	400
5	1	11	4	500
6	1	11	4	100
7	1	11	4	200
8	1	11	4	300
9	1	11	4	400
10	1	11	4	500
11	1	11	4	100
12	1	11	4	200
13	1	11	4	300
14	1	11	4	400
15	1	11	4	500
16	1	11	4	100
17	1	11	4	200
18	1	11	4	300
19	1	11	4	400
20	1	11	4	500
21	1	11	4	100
22	1	11	4	200
23	1	11	4	300
24	1	11	4	400
25	1	11	4	500
26	1	11	4	100
27	1	11	4	200
28	1	11	4	300
29	1	11	4	400
30	1	11	4	500
31	1	11	4	100
32	1	11	4	200
33	1	11	4	300
34	1	11	4	400
35	1	11	4	500
36	1	11	4	100
37	1	11	4	200
38	1	11	4	300
39	1	11	4	400
40	1	11	4	500
41	1	11	4	100
42	1	11	4	200
43	1	11	4	300
44	1	11	4	400
45	1	11	4	500
46	1	11	4	100
47	1	11	4	200
48	1	11	4	300
49	1	11	4	400
50	1	11	4	500
51	1	11	4	100
52	1	11	4	200
53	1	11	4	300
54	1	11	4	400
55	1	11	4	500
56	1	11	4	300
57	1	11	4	500
58	1	11	4	1000
59	1	11	4	2000
60	1	11	4	3000
